,mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_4,explode
22045,13,7,4968,1320,15,9,3752,3496,15,12,5992,2408,7,2,3368,1000,0.64,0.68,0.69,0.71,0
22046,15,10,2280,6968,18,15,14112,9528,2,0,1320,808,24,20,16416,9528,0.83,0.96,0.76,0.88,0
22047,19,17,11832,1800,13,8,2280,6456,8,4,5736,3496,25,20,8504,11064,0.71,0.82,0.83,0.88,0
22048,18,14,6712,1544,19,17,4776,12576,15,9,8248,6968,22,19,6456,2152,0.67,0.93,0.85,0.64,0
22049,15,10,9144,6968,5,0,224,120,13,8,904,2344,25,20,19080,6712,0.87,0.52,0.61,0.85,0
22050,13,8,9912,1544,3,0,104,600,4,0,1992,376,7,2,4776,1000,0.7,0.66,0.65,0.73,0
22051,18,15,13536,12216,3,0,1256,32,18,14,4264,3112,3,0,2856,1192,1.0,0.52,0.68,0.81,0
22052,20,18,9528,12216,2,0,256,1160,13,7,3368,2536,24,20,2664,16416,0.97,0.74,0.66,0.91,0
22053,15,12,4584,4008,15,11,11064,7992,6,1,2408,344,20,17,14112,7992,0.72,0.94,0.62,0.87,0
22054,8,4,536,552,24,20,11832,11448,18,15,11064,11832,11,6,3368,1864,0.58,0.9,1.0,0.67,0
22055,4,0,1928,1128,4,0,408,256,15,11,7992,4584,5,0,3112,1256,0.77,0.57,0.78,0.81,0
22056,20,18,11448,8504,15,9,6200,616,5,0,4392,616,7,2,4264,1800,0.86,0.62,0.76,0.8,0
22057,10,4,7224,208,6,1,600,208,15,11,2856,5352,15,10,7224,4136,0.62,0.55,0.75,0.73,0
22058,15,10,8248,2216,4,0,2984,376,13,8,1352,2536,18,15,8760,3112,0.69,0.69,0.64,0.71,0
22059,2,0,376,1384,26,20,18336,13536,25,20,24496,2344,13,7,5352,4968,0.75,0.99,0.8,0.81,0
22060,10,4,2856,2280,7,2,5352,776,25,20,17568,11064,3,0,1384,616,0.71,0.73,0.95,0.71,0
22061,3,0,2024,152,4,0,552,1160,13,8,2984,4392,5,0,2024,376,0.59,0.73,0.7,0.66,0
22062,4,0,2152,1096,24,20,14688,13536,13,8,2280,5160,3,0,1224,376,0.79,0.95,0.76,0.64,0
22063,5,0,2792,1128,5,0,600,936,18,14,14112,10680,5,0,1544,1160,0.78,0.71,0.97,0.76,0
22064,15,11,11064,5160,15,12,6968,3496,8,4,3496,1864,19,17,5160,904,0.83,0.74,0.72,0.62,0
22065,20,18,1544,5160,13,7,1800,4776,3,0,680,1288,13,8,6712,4392,0.66,0.75,0.76,0.76,0
